date,geography,geography code,Rural Urban,Religion: All categories: Religion; measures: Value,Religion: Has religion; measures: Value,Religion: Christian; measures: Value,Religion: Buddhist; measures: Value,Religion: Hindu; measures: Value,Religion: Jewish; measures: Value,Religion: Muslim; measures: Value,Religion: Sikh; measures: Value,Religion: Other religion; measures: Value,Religion: No religion; measures: Value,Religion: Religion not stated; measures: Value
2011,Swale,E07000113,Total,135835,64.58,62.97,0.2,0.27,0.07,0.58,0.12,0.37,28.78,6.65
2011,Thanet,E07000114,Total,134186,63.99,61.44,0.37,0.48,0.2,0.92,0.07,0.51,28.6,7.41
2011,Tonbridge and Malling,E07000115,Total,120805,65.69,63.67,0.37,0.45,0.1,0.62,0.14,0.34,27.31,7.0
2011,Tunbridge Wells,E07000116,Total,115049,65.43,62.93,0.39,0.4,0.2,1.08,0.05,0.38,26.62,7.95
2011,Cherwell,E07000177,Total,141868,67.71,63.84,0.4,0.41,0.12,2.25,0.31,0.4,25.42,6.86
2011,Oxford,E07000178,Total,151906,58.6,48.01,0.94,1.35,0.71,6.79,0.29,0.52,33.1,8.3
2011,South Oxfordshire,E07000179,Total,134257,65.42,63.53,0.35,0.35,0.21,0.53,0.08,0.38,27.11,7.47
2011,Vale of White Horse,E07000180,Total,120988,65.71,63.3,0.38,0.47,0.16,0.89,0.15,0.36,26.87,7.43
2011,West Oxfordshire,E07000181,Total,104779,66.96,65.41,0.32,0.21,0.17,0.42,0.04,0.4,25.86,7.17
2011,Elmbridge,E07000207,Total,130875,69.09,64.16,0.52,1.22,0.61,1.84,0.4,0.34,23.39,7.53
2011,Epsom and Ewell,E07000208,Total,75102,68.6,61.55,0.64,2.55,0.32,3.03,0.17,0.35,24.31,7.09
